,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-01-01,-92.125,31.625,11.379571,8.165192,1061.9921,0.47019932,,,,,,1.8910725200590386,
1982-01-02,-92.125,31.625,2.5109437,8.54187,713.3896,0.4681708,,,,,,0.5390312304779433,
1982-01-03,-92.125,31.625,2.734929,18.537079,1309.7795,0.5035426,,,,,,0.40292047487632504,
1982-01-04,-92.125,31.625,13.91215,8.032532,1394.7201,0.49221346,,,,,,1.721709847909183,
1982-01-05,-92.125,31.625,13.408587,0.758667,1473.863,0.47420135,,,,,,0.7889885645142871,
1982-01-06,-92.125,31.625,9.8570795,13.014191,2206.5706,0.46485996,,,,,,0.2575702926612562,
1982-01-07,-92.125,31.625,1.702195,3.4713135,851.0062,0.48439687,,,,,,0.22609291496367936,
1982-01-08,-92.125,31.625,13.163095,-1.4608765,781.68207,0.48539326,,,,,,0.9663677145411974,
1982-01-09,-92.125,31.625,13.945056,-3.0336304,1086.1492,0.47347042,,,,,,0.5952017837201368,
1982-01-10,-92.125,31.625,13.984131,-4.833435,599.1539,0.4669283,,,,,,0.43419562576094256,
1982-01-11,-92.125,31.625,14.710584,-13.25531,400.03525,0.46356294,,,,,,0.0,
1982-01-12,-92.125,31.625,1.2224672,-4.3895874,220.61192,0.4819885,,,,,,0.045732919703184015,
1982-01-13,-92.125,31.625,5.7877107,-3.3466492,390.53836,0.49824658,,,,,,0.3030188637550455,
1982-01-14,-92.125,31.625,14.823304,-6.9899597,495.6731,0.48828176,,,,,,0.0021032044880399995,
1982-01-15,-92.125,31.625,12.5813265,-3.5214233,1052.4421,0.48699635,0.53,0.5118926149614075,2.4283330880522174,0.6103004499900001,0.6647956038459836,0.48291756128434665,0.5118926149614075
1982-01-16,-92.125,31.625,10.90357,-0.9908447,771.8965,0.49245223,0.520625,0.9096449797519564,2.4976523332014176,1.2513951573915096,0.9777974629172916,0.8736086240114826,0.9096449797519564
1982-01-17,-92.125,31.625,14.649905,-9.27417,527.00665,0.47970447,0.51124996,0.0,3.542283574137785,0.0,0.0,0.0,0.0
1982-01-18,-92.125,31.625,4.4251237,-0.35928345,646.30164,0.47813824,0.501875,0.4227679855826453,1.0503552436835908,1.433071754296875,0.4227679855826453,0.42118852860039385,0.4227679855826453
1982-01-19,-92.125,31.625,6.0385394,17.809875,1729.0289,0.48507082,0.49249998,0.5392690054200003,0.5392690054200003,1.3395681547262912,1.406544093427231,0.5474812460093911,0.5392690054200003
