,longitude,latitude,ssrd,t2mmin,vpd,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR
1982-01-01,11.625,50.875,2.5115602,2.8692627,428.6873,,,,,,0.36630188797527
1982-01-02,11.625,50.875,1.9510634,3.6350403,525.90393,,,,,,0.3091548974567625
1982-01-03,11.625,50.875,1.6287715,4.3960266,607.35,,,,,,0.27845139593913754
1982-01-04,11.625,50.875,2.144193,6.525482,818.6773,,,,,,0.36714880780546305
1982-01-05,11.625,50.875,2.2515414,6.5424194,751.3167,,,,,,0.4173713820135156
1982-01-06,11.625,50.875,2.3779864,-8.650635,410.59512,,,,,,0.0
1982-01-07,11.625,50.875,2.9511244,-10.600739,244.7188,,,,,,0.0
1982-01-08,11.625,50.875,4.1350727,-12.411957,218.73097,,,,,,0.0
1982-01-09,11.625,50.875,1.3392949,-14.636841,212.68324,,,,,,0.0
1982-01-10,11.625,50.875,4.335678,-17.787674,167.27309,,,,,,0.0
1982-01-11,11.625,50.875,1.2880218,-13.653107,253.38774,,,,,,0.0
1982-01-12,11.625,50.875,2.8271391,-11.44928,280.11935,,,,,,0.0
1982-01-13,11.625,50.875,4.057628,-13.509277,164.87088,,,,,,0.0
1982-01-14,11.625,50.875,5.0107765,-15.1753235,213.598,,,,,,0.0
1982-01-15,11.625,50.875,4.730988,-11.207062,367.01416,0.17999999,0.0,0.44643965781779543,0.0,0.0,0.0
1982-01-16,11.625,50.875,4.6777177,-7.5698547,361.99496,0.17999999,0.0,0.4414128062375649,0.0,0.0,0.0
1982-01-17,11.625,50.875,4.862544,-8.214752,331.22617,0.17999999,0.0,0.45885393906811306,0.0,0.0,0.0
1982-01-18,11.625,50.875,3.8932242,-6.8507385,272.10287,0.17999999,0.0,0.3673840812227721,0.0,0.0,0.0
1982-01-19,11.625,50.875,4.660599,-5.5293274,251.45564,0.17999999,0.012974023305953387,0.43979740020180974,0.04175651018019375,0.012974023305953387,0.036038955629812505
1982-01-20,11.625,50.875,4.582168,-4.7635803,255.98544,0.17999999,0.03355394972152359,0.4323962592979843,0.10984085389773002,0.03355394972152359,0.09320542107120001
1982-01-21,11.625,50.875,5.3319125,-5.700531,272.9812,0.17999999,0.009459142828067037,0.5031458951099487,0.026610928521615,0.009459142828067037,0.026275398204375
1982-01-22,11.625,50.875,2.1843405,-2.6000366,152.93266,0.17999999,0.04396652218797255,0.20612527983109494,0.30192080072662125,0.04396652218797255,0.12212923508488123
1982-01-23,11.625,50.875,3.4431674,-2.7010498,268.36053,0.17999999,0.06725729604559035,0.3249144736501949,0.2930033087220375,0.06725729604559035,0.186825832728075
1982-01-24,11.625,50.875,2.4890866,-1.8500671,202.15408,0.17999999,0.061139952222778474,0.23488264395996344,0.3684481220306587,0.061139952222778474,0.16983321005400745
1982-01-25,11.625,50.875,4.6322165,-1.5388184,373.0406,0.17999999,0.1223496320980956,0.43711908573810504,0.3961914304893637,0.1223496320980956,0.3398601080424938
1982-01-26,11.625,50.875,1.4553032,-0.9593506,490.4708,0.17999999,0.043423644448756765,0.13732967883857297,0.44757317013482245,0.043423644448756765,0.12062124128105997
1982-01-27,11.625,50.875,2.819056,0.41244507,404.64105,0.17999999,0.10701992833516008,0.2660202046610989,0.5694455608641338,0.10701992833516008,0.2972775952242
1982-01-28,11.625,50.875,4.335542,-2.0777893,433.46454,0.17999999,0.1006852682726367,0.40912339810092113,0.3483483781473113,0.1006852682726367,0.27968131629517506
1982-01-29,11.625,50.875,5.3538184,1.0633545,421.33466,0.17999999,0.22385990034965778,0.5052130452486071,0.6271969376557238,0.22385990034965778,0.62183309107311
1982-01-30,11.625,50.875,0.57922673,2.370819,460.83112,0.17999999,0.028701297726157267,0.05465872733985387,0.7432658812074489,0.028701297726157267,0.07972583144631638
1982-01-31,11.625,50.875,4.674371,-1.619812,529.0088,0.17999999,0.12121345420116084,0.44109699490961,0.38897250839041503,0.12121345420116084,0.33670405815345
1982-02-01,11.625,50.875,5.279263,-4.398041,307.30762,0.18933332,0.05266290952017114,0.5240090499519516,0.14963142446257502,0.05266290952017114,0.1390745947944375
1982-02-02,11.625,50.875,6.9160986,-4.8247375,373.34384,0.19866666,0.05308747795431077,0.7203185611168353,0.1151389266362775,0.05308747795431077,0.1336094288651925
1982-02-03,11.625,50.875,7.1341763,-6.2418213,357.5456,0.20799999,0.0,0.7779390830562808,0.0,0.0,0.0
1982-02-04,11.625,50.875,7.151034,-6.1535645,374.5606,0.21733333,0.0,0.814767348361568,0.0,0.0,0.0
1982-02-05,11.625,50.875,7.4240923,-4.978485,432.6405,0.22666666,0.056549331658161214,0.8822048620617973,0.1142550416395575,0.056549331658161214,0.12474117644421377
1982-02-06,11.625,50.875,2.443943,-1.7087097,349.99817,0.23599999,0.08139852812610847,0.3023719469766288,0.49959345283078493,0.08139852812610847,0.17245451604915002
1982-02-07,11.625,50.875,3.9871242,2.1509094,442.5537,0.24533333,0.2621987095081288,0.5128079591397003,0.9864203985975486,0.2621987095081288,0.5343723771819524
1982-02-08,11.625,50.875,1.7538749,1.7071838,413.5305,0.25466666,0.11321543066189754,0.23415807789430723,0.9682739971525124,0.11321543066189754,0.22228161052156878
1982-02-09,11.625,50.875,3.0673327,0.52389526,486.39706,0.264,0.17375807445537222,0.42452498034540004,0.849719079,0.17375807445537222,0.32908726222608375
1982-02-10,11.625,50.875,7.987485,0.60614014,672.08057,0.2733333,0.46382615241766817,1.119271603324489,0.8710366637640037,0.4743083673357891,0.848462577405805
1982-02-11,11.625,50.875,8.190621,2.7034302,768.92444,0.28266665,0.5839123831856166,1.069436599241056,1.069355516240374,0.6627084135576172,1.032863946251913
1982-02-12,11.625,50.875,5.373929,0.38980103,608.90186,0.292,0.3297989518823241,0.8226464252490002,0.9205525934999998,0.3297989518823241,0.5647242326752127
1982-02-13,11.625,50.875,8.485779,-0.11886597,544.9229,0.30133334,0.4946564856380015,1.3405324814037978,0.8743861093448251,0.4946564856380015,0.8207795487183752
1982-02-14,11.625,50.875,7.8276258,0.18927002,427.96732,0.31066665,0.4950288613154236,1.2748618627747195,0.9486187906084312,0.4950288613154236,0.7967203130999474
1982-02-15,11.625,50.875,1.3739145,-0.8069153,123.76175,0.32,0.075092956686216,0.23048789651999999,0.81984312,0.075092956686216,0.11733274482221248
1982-02-16,11.625,50.875,5.094964,-1.8180847,310.12524,0.32,0.22428145655193604,0.8547311606400001,0.6603033600000002,0.22428145655193604,0.35043977586240005
1982-02-17,11.625,50.875,6.4137135,-2.517456,331.97815,0.32,0.23509826002206002,1.07596457676,0.5498334,0.23509826002206002,0.3673410312844688
1982-02-18,11.625,50.875,3.5361278,-3.8251648,314.8167,0.32,0.08091531708289922,0.5932207997280001,0.34323696000000004,0.08091531708289922,0.12643018294203
1982-02-19,11.625,50.875,6.6471705,-5.217407,392.53644,0.32,0.054752849763228,1.11512932308,0.12355524000000001,0.054752849763228,0.08555132775504373
1982-02-20,11.625,50.875,10.197303,-6.0175476,433.87003,0.32,0.0,1.7106995512800003,0.0,0.0,0.0
1982-02-21,11.625,50.875,10.348685,-6.1299133,443.3849,0.32,0.0,1.7360953956,0.0,0.0,0.0
1982-02-22,11.625,50.875,10.274214,-6.5075684,454.8455,0.32,0.0,1.7236021406400002,0.0,0.0,0.0
1982-02-23,11.625,50.875,9.642947,-5.2953186,436.87988,0.32,0.071502374861424,1.61770078872,0.11122488000000001,0.071502374861424,0.111722460720975
1982-02-24,11.625,50.875,6.7683773,-7.065094,277.0257,0.32,0.0,1.135462975848,0.0,0.0,0.0
1982-02-25,11.625,50.875,7.667059,-6.74234,318.8127,0.32,0.0,1.2862258178400001,0.0,0.0,0.0
1982-02-26,11.625,50.875,4.6693764,-5.5720825,287.51242,0.32,0.0209933668743552,0.783334584864,0.06743952,0.0209933668743552,0.032802135741179995
1982-02-27,11.625,50.875,10.397792,-6.4478455,411.7701,0.32,0.0,1.7443335859200002,0.0,0.0,0.0
1982-02-28,11.625,50.875,4.3988905,-0.41653442,537.84247,0.32,0.258506641959084,0.73795787028,0.8814949200000001,0.258506641959084,0.40391662806106876
1982-03-01,11.625,50.875,2.1090214,4.357971,654.8938,0.32133332,0.2297320669522655,0.35354273153626575,1.6339241528246145,0.23086329710809517,0.357466923990742
1982-03-02,11.625,50.875,7.9494987,2.7037964,653.46027,0.32266667,0.7316480755496078,1.340014790383897,1.380555120191933,0.7342178379825467,1.1337521714740597
1982-03-03,11.625,50.875,4.090347,2.7638245,682.2327,0.324,0.36968680945297533,0.6724023453127963,1.3557045751362,0.38198678389437424,0.5705043355755792
1982-03-04,11.625,50.875,9.739662,2.5963745,800.86115,0.32533333,0.7606767537234078,1.4104890667966026,1.1715140942109816,0.8958623880855116,1.1690728916760664
1982-03-05,11.625,50.875,8.799041,-0.37026978,518.76904,0.32666665,0.5322299063573176,1.5068796895733796,0.907308943708725,0.5322299063573176,0.8146376533345501
1982-03-06,11.625,50.875,10.082804,-2.0089722,511.4369,0.328,0.4341381311456064,1.7337784790159998,0.6458592240000001,0.4341381311456064,0.6617959316244
1982-03-07,11.625,50.875,12.33481,-3.09552,550.9728,0.32933334,0.3880207713141173,2.1296419940401607,0.471860658551835,0.3880207713141173,0.5891003493817499
1982-03-08,11.625,50.875,12.829272,-1.4072266,655.165,0.33066666,0.6373968246942121,2.2124152193481845,0.7452451215012966,0.6407286134843306,0.9638057019328955
1982-03-09,11.625,50.875,11.16499,-1.4274292,609.93506,0.332,0.5575263648111811,1.9432776744900002,0.7490284785,0.5575263648111811,0.839648139775875
1982-03-10,11.625,50.875,9.992588,0.7333374,732.6964,0.33333334,0.6765976385890751,1.6017936519627725,1.0156492571129847,0.7375969024191378,1.0148964375856837
1982-03-11,11.625,50.875,10.08736,0.10507202,497.72977,0.33466667,0.6778400037885145,1.769817242267662,1.0079545150393876,0.6778400037885145,1.0127091589200004
1982-03-12,11.625,50.875,8.8073635,0.010681152,562.5425,0.336,0.5850327385524258,1.551399465798,0.9963811620000002,0.5850327385524258,0.8705844323696813
1982-03-13,11.625,50.875,12.4387045,0.2843933,516.4214,0.33733332,0.8673604344257221,2.199747487764956,1.045961540157645,0.8673604344257221,1.2856133429477439
1982-03-14,11.625,50.875,12.761838,0.33163452,641.1317,0.33866668,0.8999810740407899,2.265813378753247,1.05781910964642,0.8999810740407899,1.3287121632999
1982-03-15,11.625,50.875,14.668725,3.2826538,938.3879,0.34,1.0834090336101292,1.8605684932339501,1.1078764857990002,1.522497236664038,1.5932485788384254
1982-03-16,11.625,50.875,9.3857565,3.3946838,889.3507,0.336875,0.7430926353769266,1.2607611730181991,1.1875856283565314,0.9769821658913049,1.1029204235650116
1982-03-17,11.625,50.875,4.779953,2.0483093,557.44196,0.33375,0.4222685243146126,0.8363409077334374,1.3251234614062501,0.4222685243146126,0.6326120214451125
1982-03-18,11.625,50.875,13.071066,0.052124023,550.8136,0.330625,0.8602520836373035,2.265609912134063,0.9872019049218751,0.8602520836373035,1.300948330642425
1982-03-19,11.625,50.875,10.767812,-0.1605835,477.81787,0.3275,0.6771955982350433,1.8487458319275,0.9433610071875003,0.6771955982350433,1.03388640951915
1982-03-20,11.625,50.875,10.488879,-1.6385193,551.20056,0.324375,0.48801254110299686,1.7836715683589066,0.6978999487500002,0.48801254110299686,0.7522351307946001
1982-03-21,11.625,50.875,8.199273,-0.113983154,388.71396,0.32125,0.5099601379028932,1.3808831245678126,0.9329366235937501,0.5099601379028932,0.7937122768916626
1982-03-22,11.625,50.875,7.2964697,-0.16537476,433.10834,0.318125,0.4453793811927976,1.2168835551715782,0.9156059015625001,0.4453793811927976,0.7000068859611751
1982-03-23,11.625,50.875,9.971464,0.12246704,601.07935,0.315,0.6324879061519829,1.64667510063,0.9514469081250001,0.6324879061519829,1.0039490573841
1982-03-24,11.625,50.875,17.107502,-1.2628174,776.085,0.311875,0.7264674263304428,2.4443722285681115,0.6369726798779064,0.8312935419732724,1.1646772366019122
1982-03-25,11.625,50.875,15.119644,-0.8768921,826.0396,0.30875,0.6481269123005283,2.01657408929847,0.6429981872925001,0.7865617867724859,1.0495982385433658
1982-03-26,11.625,50.875,17.230732,-1.2683105,1004.93726,0.305625,0.5285936988099141,1.780976074157393,0.4601606874361875,0.8193980759725844,0.8647749673781829
1982-03-27,11.625,50.875,17.654133,1.0898743,1175.4558,0.3025,0.5908962142424651,1.32845371907029,0.502060521105,1.2453028751158381,0.9766879574255621
1982-03-28,11.625,50.875,14.608657,2.7104492,1097.8074,0.299375,0.6919119490818816,1.2660785893538549,0.7104471845857032,1.253009686855997,1.155594069447819
1982-03-29,11.625,50.875,14.767972,4.9226685,987.92084,0.29625,1.0405395705505989,1.5185924847498524,1.0568880790306876,1.5715746421244507,1.7561849291993228
1982-03-30,11.625,50.875,6.343185,2.3427734,589.66113,0.293125,0.5101905326344215,0.9747621945632813,1.2064693035937502,0.5101905326344215,0.870261036476625
1982-03-31,11.625,50.875,6.1715536,0.9526367,512.8648,0.29,0.4092763064382504,0.938276722692,0.9947486474999999,0.4092763064382504,0.7056488042038801
1982-04-01,11.625,50.875,18.574076,-1.5602722,874.7884,0.292,0.613857367169609,2.2041557169465316,0.495737204238,0.7918696686914461,1.051125628715084
1982-04-02,11.625,50.875,17.071423,1.8494568,1126.426,0.294,0.6783802181437532,1.3777014990734227,0.5960664949932,1.2956077504655334,1.1537078539859749
