,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-01-01,11.625,50.875,2.5115602,2.8692627,530.74927,0.41818082,,,,,,0.3552242687002395,
1982-01-02,11.625,50.875,1.9510634,3.6350403,618.8574,0.39989308,,,,,,0.2973579389384175,
1982-01-03,11.625,50.875,1.6287715,4.3960266,653.10236,0.40611136,,,,,,0.26555373686548134,
1982-01-04,11.625,50.875,2.144193,6.525482,817.72644,0.40685746,,,,,,0.3758101848775485,
1982-01-05,11.625,50.875,2.2515414,6.5424194,883.1136,0.40980786,,,,,,0.3788099880397991,
1982-01-06,11.625,50.875,2.3779864,-8.650635,332.46182,0.41492614,,,,,,0.0,
1982-01-07,11.625,50.875,2.9511244,-10.600739,278.0577,0.39742538,,,,,,0.0,
1982-01-08,11.625,50.875,4.1350727,-12.411957,245.44768,0.3914304,,,,,,0.0,
1982-01-09,11.625,50.875,1.3392949,-14.636841,217.24069,0.3865784,,,,,,0.0,
1982-01-10,11.625,50.875,4.335678,-17.787674,216.0964,0.3835799,,,,,,0.0,
1982-01-11,11.625,50.875,1.2880218,-13.653107,262.80005,0.38110745,,,,,,0.0,
1982-01-12,11.625,50.875,2.8271391,-11.44928,331.51355,0.37844446,,,,,,0.0,
1982-01-13,11.625,50.875,4.057628,-13.509277,221.47717,0.37582758,,,,,,0.0,
1982-01-14,11.625,50.875,5.0107765,-15.1753235,279.81625,0.374311,,,,,,0.0,
1982-01-15,11.625,50.875,4.730988,-11.207062,482.0264,0.37351888,0.17999999,0.0,0.4027537170527923,0.0,0.0,0.0,0.0
1982-01-16,11.625,50.875,4.6777177,-7.5698547,507.78775,0.37306848,0.17999999,0.0,0.39821876339543416,0.0,0.0,0.0,0.0
1982-01-17,11.625,50.875,4.862544,-8.214752,463.46115,0.37268335,0.17999999,0.0,0.41395321026659815,0.0,0.0,0.0,0.0
1982-01-18,11.625,50.875,3.8932242,-6.8507385,363.3387,0.37189254,0.17999999,0.002982906458614765,0.3314340509571962,0.011492684361517501,0.002982906458614765,0.008285851734255001,0.002982906458614765
1982-01-19,11.625,50.875,4.660599,-5.5293274,375.01135,0.37154046,0.17999999,0.03535144354011871,0.39676143142669706,0.11377757517902326,0.03535144354011871,0.0981984597335775,0.03535144354011871
