,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-01-01,13.125,49.375,3.4260948,0.23199463,319.8303,0.3953892,,,,,,0.355104422039889,
1982-01-02,13.125,49.375,1.698037,1.0825195,360.65073,0.39706406,,,,,,0.19667590813183505,
1982-01-03,13.125,49.375,1.571771,1.8485107,271.6794,0.40706143,,,,,,0.19933442267676754,
1982-01-04,13.125,49.375,2.2601442,2.762207,509.7817,0.41173103,,,,,,0.316191031979562,
1982-01-05,13.125,49.375,1.6489775,5.607361,556.255,0.41720173,,,,,,0.2979546472901813,
1982-01-06,13.125,49.375,2.0526893,-7.996704,443.76367,0.41903803,,,,,,0.0,
1982-01-07,13.125,49.375,4.526285,-15.01297,238.27579,0.39768738,,,,,,0.0,
1982-01-08,13.125,49.375,4.4069414,-19.790817,199.6097,0.39029267,,,,,,0.0,
1982-01-09,13.125,49.375,1.4045627,-10.959015,189.47389,0.38600233,,,,,,0.0,
1982-01-10,13.125,49.375,5.039437,-15.74762,222.07782,0.38260072,,,,,,0.0,
1982-01-11,13.125,49.375,1.9421296,-13.735168,196.08861,0.38076553,,,,,,0.0,
1982-01-12,13.125,49.375,4.760203,-17.315216,209.77147,0.37946817,,,,,,0.0,
1982-01-13,13.125,49.375,4.917611,-19.099167,137.56477,0.37767363,,,,,,0.0,
1982-01-14,13.125,49.375,5.5701766,-20.481293,159.12456,0.37613383,,,,,,0.0,
1982-01-15,13.125,49.375,5.444075,-21.493439,212.75545,0.37464297,0.25,0.0,0.6436938178125,0.0,0.0,0.0,0.0
1982-01-16,13.125,49.375,5.5420237,-16.009552,233.93716,0.37375024,0.245,0.0,0.642169526684175,0.0,0.0,0.0,0.0
1982-01-17,13.125,49.375,5.582898,-15.758942,292.69913,0.37317955,0.24,0.0,0.633703586184,0.0,0.0,0.0,0.0
1982-01-18,13.125,49.375,5.2407956,-12.698822,326.5184,0.37287012,0.235,0.0,0.5824790555697001,0.0,0.0,0.0,0.0
1982-01-19,13.125,49.375,5.0191684,-12.575256,202.68448,0.37313014,0.23,0.0,0.5459776097994,0.0,0.0,0.0,0.0
1982-01-20,13.125,49.375,5.375501,-12.857117,239.86606,0.37726763,0.225,0.0,0.57202721953875,0.0,0.0,0.0,0.0
1982-01-21,13.125,49.375,5.9849777,-13.778564,189.64264,0.37527272,0.22,0.0,0.6227309447073001,0.0,0.0,0.0,0.0
1982-01-22,13.125,49.375,2.6157553,-10.466705,150.00285,0.373351,0.215,0.0,0.265981115864025,0.0,0.0,0.0,0.0
1982-01-23,13.125,49.375,3.9845014,-2.5846558,239.5401,0.3725043,0.21000001,0.10589967762979903,0.39573870564199937,0.39866849198421306,0.10589967762979903,0.25214207758799406,0.10589967762979903
1982-01-24,13.125,49.375,3.7001038,-3.5684814,232.17302,0.36845756,0.205,0.07461846889183439,0.35874263890304997,0.30249881999999995,0.07461846889183439,0.18199626558984,0.07461846889183439
1982-01-25,13.125,49.375,4.743336,-5.142914,283.01486,0.36085683,0.2,0.05052048434222402,0.4486721522400001,0.15976251000000002,0.05052048434222402,0.12630121085556004,0.05052048434222402
1982-01-26,13.125,49.375,3.0776284,-4.606262,311.19772,0.35867742,0.19500001,0.041184467663463085,0.28383506315274354,0.20072826691875678,0.041184467663463085,0.10560119372163901,0.041184467663463085
1982-01-27,13.125,49.375,4.0911145,-0.7230835,310.846,0.36851457,0.19,0.13984629775816593,0.36762959452724997,0.512744013,0.13984629775816593,0.36801657304780505,0.13984629775816593
1982-01-28,13.125,49.375,4.434091,-2.2747192,409.3574,0.37199834,0.185,0.11111292328443478,0.38796411761325,0.375881742,0.11111292328443478,0.30030519806603995,0.11111292328443478
1982-01-29,13.125,49.375,4.7609496,-1.2948303,367.8505,0.37151197,0.18,0.1401542616574901,0.4053044003976,0.44157449699999995,0.1401542616574901,0.389317393493028,0.1401542616574901
1982-01-30,13.125,49.375,0.8322833,0.7482605,266.50778,0.42040437,0.175,0.0323483808218823,0.068884967678625,0.583005465,0.0323483808218823,0.092423945205378,0.0323483808218823
