,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR
1982-01-01,-92.125,31.625,11.379571,8.165192,1061.9921,0.47019932,
1982-01-02,-92.125,31.625,2.5109437,8.54187,713.3896,0.4681708,
1982-01-03,-92.125,31.625,2.734929,18.537079,1309.7795,0.5035426,
1982-01-04,-92.125,31.625,13.91215,8.032532,1394.7201,0.49221346,
1982-01-05,-92.125,31.625,13.408587,0.758667,1473.863,0.47420135,
1982-01-06,-92.125,31.625,9.8570795,13.014191,2206.5706,0.46485996,
1982-01-07,-92.125,31.625,1.702195,3.4713135,851.0062,0.48439687,
1982-01-08,-92.125,31.625,13.163095,-1.4608765,781.68207,0.48539326,
1982-01-09,-92.125,31.625,13.945056,-3.0336304,1086.1492,0.47347042,
1982-01-10,-92.125,31.625,13.984131,-4.833435,599.1539,0.4669283,
1982-01-11,-92.125,31.625,14.710584,-13.25531,400.03525,0.46356294,
1982-01-12,-92.125,31.625,1.2224672,-4.3895874,220.61192,0.4819885,
1982-01-13,-92.125,31.625,5.7877107,-3.3466492,390.53836,0.49824658,
1982-01-14,-92.125,31.625,14.823304,-6.9899597,495.6731,0.48828176,
1982-01-15,-92.125,31.625,12.5813265,-3.5214233,1052.4421,0.48699635,0.53
1982-01-16,-92.125,31.625,10.90357,-0.9908447,771.8965,0.49245223,0.520625
1982-01-17,-92.125,31.625,14.649905,-9.27417,527.00665,0.47970447,0.51124996
1982-01-18,-92.125,31.625,4.4251237,-0.35928345,646.30164,0.47813824,0.501875
1982-01-19,-92.125,31.625,6.0385394,17.809875,1729.0289,0.48507082,0.49249998
1982-01-20,-92.125,31.625,4.8524356,18.098816,1705.6696,0.478031,0.48312497
1982-01-21,-92.125,31.625,6.082638,19.246979,1928.0996,0.47383785,0.47375
1982-01-22,-92.125,31.625,6.383264,17.619934,2086.5515,0.46952242,0.464375
1982-01-23,-92.125,31.625,9.747889,9.730896,1445.0056,0.4909062,0.45499998
1982-01-24,-92.125,31.625,15.266758,0.92126465,1222.8318,0.4800965,0.44562498
1982-01-25,-92.125,31.625,10.579458,3.9013672,1558.8105,0.47489795,0.43624997
1982-01-26,-92.125,31.625,15.756015,3.398468,1088.7361,0.46796212,0.426875
1982-01-27,-92.125,31.625,14.922965,-0.5088806,1283.5109,0.45991096,0.4175
1982-01-28,-92.125,31.625,9.118088,11.55777,1492.3146,0.4608502,0.40812498
1982-01-29,-92.125,31.625,11.3053,13.786316,1963.9465,0.4687386,0.39875
1982-01-30,-92.125,31.625,8.863902,17.465637,2272.6877,0.45849955,0.389375
1982-01-31,-92.125,31.625,7.1329594,6.7529907,1064.8466,0.49750894,0.38
1982-02-01,-92.125,31.625,15.845065,1.1036377,911.87506,0.48225114,0.372
1982-02-02,-92.125,31.625,8.072239,6.2579956,1016.2808,0.47801262,0.364
1982-02-03,-92.125,31.625,11.188896,7.3970337,991.0251,0.48109454,0.356
1982-02-04,-92.125,31.625,15.211368,2.791687,732.19836,0.46982628,0.348
1982-02-05,-92.125,31.625,5.540172,2.3272095,786.5708,0.4638891,0.34
1982-02-06,-92.125,31.625,9.066968,-1.1604309,522.4303,0.46664125,0.332
1982-02-07,-92.125,31.625,14.0672455,-2.685608,762.3799,0.46343863,0.324
1982-02-08,-92.125,31.625,8.232368,4.865204,1285.4656,0.4591376,0.31599998
1982-02-09,-92.125,31.625,4.8422933,2.5363464,731.8221,0.49744463,0.308
1982-02-10,-92.125,31.625,16.793062,-2.8115845,712.7254,0.484252,0.29999998
1982-02-11,-92.125,31.625,17.274315,0.60617065,1030.5531,0.47462267,0.292
1982-02-12,-92.125,31.625,9.053432,4.8964844,1004.94525,0.47129005,0.28399998
