,longitude,latitude,ssrd,t2mmin,e,tp,vpd,sSWC,FPAR
1982-01-15,11.625,50.875,4.730988,-11.207062,-0.18245825,1.6653345e-13,482.0264,0.37351888,0.17999999
1982-01-16,11.625,50.875,4.6777177,-7.5698547,-0.10422307,1.6653345e-13,507.78775,0.37306848,0.17999999
1982-01-17,11.625,50.875,4.862544,-8.214752,-0.118040755,1.6653345e-13,463.46115,0.37268335,0.17999999
1982-01-18,11.625,50.875,3.8932242,-6.8507385,-0.06753582,1.6653345e-13,363.3387,0.37189254,0.17999999
1982-01-19,11.625,50.875,4.660599,-5.5293274,-0.031867657,0.018365888,375.01135,0.37154046,0.17999999
1982-01-20,11.625,50.875,4.582168,-4.7635803,-0.059578348,0.0077648982,372.6341,0.37106925,0.17999999
1982-01-21,11.625,50.875,5.3319125,-5.700531,-0.14765911,0.06532512,363.74097,0.36890966,0.17999999
1982-01-22,11.625,50.875,2.1843405,-2.6000366,-0.019230334,1.2374653,167.29704,0.3709969,0.17999999
1982-01-23,11.625,50.875,3.4431674,-2.7010498,-0.10192686,0.03403456,367.5899,0.37016258,0.17999999
1982-01-24,11.625,50.875,2.4890866,-1.8500671,-0.09163768,0.30542374,250.73866,0.36749804,0.17999999
1982-01-25,11.625,50.875,4.6322165,-1.5388184,-0.27885374,0.046681482,505.2022,0.36165702,0.17999999
1982-01-26,11.625,50.875,1.4553032,-0.9593506,-0.38098264,0.7390269,500.43988,0.35930112,0.17999999
1982-01-27,11.625,50.875,2.819056,0.41244507,-0.25059962,0.42253885,527.07355,0.36596507,0.17999999
1982-01-28,11.625,50.875,4.335542,-2.0777893,-0.5842041,0.62139934,513.992,0.36421913,0.17999999
1982-01-29,11.625,50.875,5.3538184,1.0633545,-0.6064197,7.32164,511.44513,0.3843022,0.17999999
1982-01-30,11.625,50.875,0.57922673,2.370819,-0.34330255,9.37472,509.23773,0.42071107,0.17999999
1982-01-31,11.625,50.875,4.674371,-1.619812,-0.7951424,4.2619677,623.675,0.41669434,0.17999999
1982-02-01,11.625,50.875,5.279263,-4.398041,-0.26924393,0.006772163,369.3166,0.3969817,0.18933332
1982-02-02,11.625,50.875,6.9160986,-4.8247375,-0.3210663,0.0007213142,451.96866,0.38955727,0.19866666
1982-02-03,11.625,50.875,7.1341763,-6.2418213,-0.26215914,0.0,452.75836,0.3847069,0.20799999
1982-02-04,11.625,50.875,7.151034,-6.1535645,-0.27034006,0.0,460.5244,0.38109615,0.21733333
1982-02-05,11.625,50.875,7.4240923,-4.978485,-0.26762748,0.0,530.2784,0.3784126,0.22666666
1982-02-06,11.625,50.875,2.443943,-1.7087097,-0.11003136,0.90116185,420.68906,0.3791108,0.23599999
1982-02-07,11.625,50.875,3.9871242,2.1509094,-0.13938195,0.04720228,607.9164,0.3856318,0.24533333
1982-02-08,11.625,50.875,1.7538749,1.7071838,-0.18437901,2.9593475,425.14566,0.39578387,0.25466666
1982-02-09,11.625,50.875,3.0673327,0.52389526,-0.34451386,0.066277735,571.96533,0.39150852,0.264
1982-02-10,11.625,50.875,7.987485,0.60614014,-0.4642777,0.0,818.28564,0.39046398,0.2733333
1982-02-11,11.625,50.875,8.190621,2.7034302,-0.47496665,0.0,908.07684,0.3926769,0.28266665
1982-02-12,11.625,50.875,5.373929,0.38980103,-0.24264325,0.0028449378,763.2956,0.39086652,0.292
1982-02-13,11.625,50.875,8.485779,-0.11886597,-0.43626106,0.0,733.8713,0.3877859,0.30133334
1982-02-14,11.625,50.875,7.8276258,0.18927002,-0.39978248,0.1394467,516.03894,0.38570702,0.31066665
1982-02-15,11.625,50.875,1.3739145,-0.8069153,-0.090718,0.95503294,65.499245,0.38674948,0.32
1982-02-16,11.625,50.875,5.094964,-1.8180847,-0.45259076,0.03918972,334.39252,0.382214,0.32
1982-02-17,11.625,50.875,6.4137135,-2.517456,-0.3335993,0.005129205,417.14774,0.37883636,0.32
1982-02-18,11.625,50.875,3.5361278,-3.8251648,-0.32922205,0.09211902,374.32568,0.3757161,0.32
1982-02-19,11.625,50.875,6.6471705,-5.217407,-0.53620595,0.118529215,446.16214,0.37211278,0.32
1982-02-20,11.625,50.875,10.197303,-6.0175476,-0.48226693,0.0,554.2895,0.36910695,0.32
1982-02-21,11.625,50.875,10.348685,-6.1299133,-0.4321519,0.0,551.7435,0.3666376,0.32
1982-02-22,11.625,50.875,10.274214,-6.5075684,-0.45475164,0.06999957,565.65826,0.36436674,0.32
1982-02-23,11.625,50.875,9.642947,-5.2953186,-0.6292739,0.85801953,532.0367,0.36215574,0.32
1982-02-24,11.625,50.875,6.7683773,-7.065094,-0.25375304,0.117369466,358.6756,0.35938665,0.32
1982-02-25,11.625,50.875,7.667059,-6.74234,-0.28591323,0.41267976,384.61508,0.35818177,0.32
1982-02-26,11.625,50.875,4.6693764,-5.5720825,-0.1677619,0.09781269,326.99185,0.3573845,0.32
1982-02-27,11.625,50.875,10.397792,-6.4478455,-0.37154245,0.007493478,511.7045,0.35653892,0.32
1982-02-28,11.625,50.875,4.3988905,-0.41653442,-0.33076942,0.33074674,633.06635,0.355633,0.32
1982-03-01,11.625,50.875,2.1090214,4.357971,-0.5637027,1.6055582,719.4415,0.36370644,0.32133332
1982-03-02,11.625,50.875,7.9494987,2.7037964,-1.0163289,0.6988364,719.01855,0.37589508,0.32266667
1982-03-03,11.625,50.875,4.090347,2.7638245,-1.5638871,4.338909,683.8424,0.39024168,0.324
1982-03-04,11.625,50.875,9.739662,2.5963745,-1.6880037,1.2950006,909.8933,0.39593363,0.32533333
1982-03-05,11.625,50.875,8.799041,-0.37026978,-0.9501451,1.117231,625.84674,0.38496062,0.32666665
1982-03-06,11.625,50.875,10.082804,-2.0089722,-0.91629004,0.08477221,608.26135,0.37866896,0.328
1982-03-07,11.625,50.875,12.33481,-3.09552,-0.92471635,0.0,650.14417,0.37250805,0.32933334
1982-03-08,11.625,50.875,12.829272,-1.4072266,-0.94452375,0.0,884.6097,0.37198937,0.33066666
1982-03-09,11.625,50.875,11.16499,-1.4274292,-0.9540672,0.024512392,785.5591,0.37121835,0.332
1982-03-10,11.625,50.875,9.992588,0.7333374,-1.7663946,3.630739,888.4348,0.3768657,0.33333334
1982-03-11,11.625,50.875,10.08736,0.10507202,-1.4639528,3.7148516,561.60046,0.41359958,0.33466667
1982-03-12,11.625,50.875,8.8073635,0.010681152,-1.2508572,1.707783,685.99805,0.40099955,0.336
1982-03-13,11.625,50.875,12.4387045,0.2843933,-1.3378955,1.2071694,651.7842,0.40025792,0.33733332
1982-03-14,11.625,50.875,12.761838,0.33163452,-1.3035572,0.2611055,729.19867,0.38774174,0.33866668
1982-03-15,11.625,50.875,14.668725,3.2826538,-1.6017035,0.0,1075.3146,0.377936,0.34
1982-03-16,11.625,50.875,9.3857565,3.3946838,-1.3494941,0.3564866,990.91724,0.37095475,0.336875
1982-03-17,11.625,50.875,4.779953,2.0483093,-0.2599399,3.949107,596.8832,0.3960771,0.33375
1982-03-18,11.625,50.875,13.071066,0.052124023,-0.47284722,0.18381535,662.86346,0.4112378,0.330625
1982-03-19,11.625,50.875,10.767812,-0.1605835,-0.84780556,1.19879,563.2213,0.41072032,0.3275
1982-03-20,11.625,50.875,10.488879,-1.6385193,-1.0299788,0.6904629,684.68964,0.40413395,0.324375
1982-03-21,11.625,50.875,8.199273,-0.113983154,-0.68503463,0.2785972,483.0277,0.40058163,0.32125
1982-03-22,11.625,50.875,7.2964697,-0.16537476,-0.47353193,1.159867,521.8655,0.40509817,0.318125
1982-03-23,11.625,50.875,9.971464,0.12246704,-1.125917,0.27475104,727.46204,0.4027745,0.315
1982-03-24,11.625,50.875,17.107502,-1.2628174,-1.0661885,0.0,886.7237,0.40084174,0.311875
1982-03-25,11.625,50.875,15.119644,-0.8768921,-1.150964,0.0,1013.3609,0.40094054,0.30875
1982-03-26,11.625,50.875,17.230732,-1.2683105,-1.4069158,0.0,1219.2881,0.3958448,0.305625
1982-03-27,11.625,50.875,17.654133,1.0898743,-1.6800199,0.0,1477.289,0.38760957,0.3025
1982-03-28,11.625,50.875,14.608657,2.7104492,-1.8692359,1.2139276,1375.8054,0.38186395,0.299375
1982-03-29,11.625,50.875,14.767972,4.9226685,-1.8524919,0.14284654,1137.5635,0.37570375,0.29625
1982-03-30,11.625,50.875,6.343185,2.3427734,-1.0611858,1.7924842,664.43536,0.37532806,0.293125
1982-03-31,11.625,50.875,6.1715536,0.9526367,-0.7378052,0.19353281,530.6467,0.37250578,0.29
1982-04-01,11.625,50.875,18.574076,-1.5602722,-1.5592453,0.0,1090.8998,0.36470369,0.292
1982-04-02,11.625,50.875,17.071423,1.8494568,-1.7103258,0.063742936,1341.6686,0.35711586,0.294
1982-04-03,11.625,50.875,10.4970875,3.1381836,-1.5775013,0.78324515,975.6667,0.35499212,0.296
1982-04-04,11.625,50.875,18.091734,0.014404297,-1.8779726,0.0010346594,1101.891,0.35057953,0.29799998
1982-04-05,11.625,50.875,19.891743,1.2167053,-2.3514233,0.0,1549.4214,0.34297988,0.29999998
1982-04-06,11.625,50.875,18.061302,6.488434,-2.74848,0.28784388,1940.9115,0.33186203,0.302
1982-04-07,11.625,50.875,8.28313,8.73642,-1.9139419,3.6614118,872.4547,0.3424247,0.304
1982-04-08,11.625,50.875,8.04467,0.13006592,-2.9027762,12.027451,712.27795,0.39104986,0.306
1982-04-09,11.625,50.875,16.74934,-0.124572754,-2.3561668,1.3367593,663.5652,0.3846905,0.308
1982-04-10,11.625,50.875,11.953101,0.75198364,-1.5581096,2.8486125,575.1758,0.38526282,0.31
1982-04-11,11.625,50.875,17.851688,-0.63116455,-2.0188231,2.366306,586.37427,0.39413145,0.312
1982-04-12,11.625,50.875,17.870197,-0.8227234,-1.9547771,1.8119848,593.81256,0.38989,0.31399998
1982-04-13,11.625,50.875,17.993467,-0.06237793,-1.9683787,2.0315816,642.1464,0.3850461,0.31599998
1982-04-14,11.625,50.875,17.746515,-1.0008545,-1.6335943,0.034952104,758.6258,0.38442293,0.318
1982-04-15,11.625,50.875,20.379333,0.43084717,-1.971835,0.0,1060.9995,0.37951666,0.32
1982-04-16,11.625,50.875,21.26484,1.0310364,-2.2723982,0.14782263,1218.9413,0.36897796,0.32333332
1982-04-17,11.625,50.875,19.239628,3.9362488,-2.0688004,0.3151666,1026.2451,0.36069307,0.32666665
1982-04-18,11.625,50.875,18.535011,1.5552368,-2.2366686,0.67775995,1002.7685,0.35336813,0.32999998
1982-04-19,11.625,50.875,14.617337,0.48742676,-1.5101248,0.08857618,1031.354,0.3482259,0.33333334
1982-04-20,11.625,50.875,19.368814,3.1533203,-2.1402113,0.073778376,1059.3229,0.3439172,0.33666667
1982-04-21,11.625,50.875,14.904447,2.9022217,-1.6819372,0.636445,1101.9979,0.34060365,0.34
1982-04-22,11.625,50.875,23.368307,2.6411438,-2.522359,0.0,1045.0602,0.33485046,0.34333333
1982-04-23,11.625,50.875,20.84983,0.15142822,-2.2586787,0.6683511,1164.7874,0.32630202,0.34666666
1982-04-24,11.625,50.875,15.844434,4.5285645,-2.4353857,6.1106176,997.94055,0.37237933,0.35
1982-04-25,11.625,50.875,20.046417,3.0532227,-2.4306095,0.0,1176.8427,0.34809363,0.35333332
1982-04-26,11.625,50.875,5.7504106,4.320038,-1.1000018,1.2866592,867.14813,0.34469032,0.35666665
1982-04-27,11.625,50.875,18.361181,2.705536,-2.298725,0.5409048,1118.3083,0.3459398,0.36
1982-04-28,11.625,50.875,7.236337,2.7370605,-1.1616476,2.3718543,764.87915,0.34555876,0.36333334
1982-04-29,11.625,50.875,9.136753,1.1096497,-1.7882445,5.1711493,655.7629,0.36281428,0.36666667
1982-04-30,11.625,50.875,19.066364,0.59262085,-2.6487653,1.0912609,772.68036,0.36972794,0.37
1982-05-01,11.625,50.875,9.997364,2.3073425,-2.175114,5.553226,788.04614,0.37647977,0.37933335
1982-05-02,11.625,50.875,19.307247,1.281311,-2.6581209,0.82539093,850.03217,0.37721422,0.38866666
1982-05-03,11.625,50.875,19.124392,1.9546204,-2.8780055,0.16179326,1330.1691,0.35695454,0.398
