,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR
1982-01-01,13.125,49.375,3.4260948,0.23199463,319.8303,0.3953892,
1982-01-02,13.125,49.375,1.698037,1.0825195,360.65073,0.39706406,
1982-01-03,13.125,49.375,1.571771,1.8485107,271.6794,0.40706143,
1982-01-04,13.125,49.375,2.2601442,2.762207,509.7817,0.41173103,
1982-01-05,13.125,49.375,1.6489775,5.607361,556.255,0.41720173,
1982-01-06,13.125,49.375,2.0526893,-7.996704,443.76367,0.41903803,
1982-01-07,13.125,49.375,4.526285,-15.01297,238.27579,0.39768738,
1982-01-08,13.125,49.375,4.4069414,-19.790817,199.6097,0.39029267,
1982-01-09,13.125,49.375,1.4045627,-10.959015,189.47389,0.38600233,
1982-01-10,13.125,49.375,5.039437,-15.74762,222.07782,0.38260072,
1982-01-11,13.125,49.375,1.9421296,-13.735168,196.08861,0.38076553,
1982-01-12,13.125,49.375,4.760203,-17.315216,209.77147,0.37946817,
1982-01-13,13.125,49.375,4.917611,-19.099167,137.56477,0.37767363,
1982-01-14,13.125,49.375,5.5701766,-20.481293,159.12456,0.37613383,
1982-01-15,13.125,49.375,5.444075,-21.493439,212.75545,0.37464297,0.25
1982-01-16,13.125,49.375,5.5420237,-16.009552,233.93716,0.37375024,0.245
1982-01-17,13.125,49.375,5.582898,-15.758942,292.69913,0.37317955,0.24
1982-01-18,13.125,49.375,5.2407956,-12.698822,326.5184,0.37287012,0.235
1982-01-19,13.125,49.375,5.0191684,-12.575256,202.68448,0.37313014,0.23
1982-01-20,13.125,49.375,5.375501,-12.857117,239.86606,0.37726763,0.225
1982-01-21,13.125,49.375,5.9849777,-13.778564,189.64264,0.37527272,0.22
1982-01-22,13.125,49.375,2.6157553,-10.466705,150.00285,0.373351,0.215
1982-01-23,13.125,49.375,3.9845014,-2.5846558,239.5401,0.3725043,0.21000001
1982-01-24,13.125,49.375,3.7001038,-3.5684814,232.17302,0.36845756,0.205
1982-01-25,13.125,49.375,4.743336,-5.142914,283.01486,0.36085683,0.2
1982-01-26,13.125,49.375,3.0776284,-4.606262,311.19772,0.35867742,0.19500001
1982-01-27,13.125,49.375,4.0911145,-0.7230835,310.846,0.36851457,0.19
1982-01-28,13.125,49.375,4.434091,-2.2747192,409.3574,0.37199834,0.185
1982-01-29,13.125,49.375,4.7609496,-1.2948303,367.8505,0.37151197,0.18
1982-01-30,13.125,49.375,0.8322833,0.7482605,266.50778,0.42040437,0.175
1982-01-31,13.125,49.375,4.088056,-2.4743042,496.33325,0.4249093,0.17
1982-02-01,13.125,49.375,6.9472976,-6.0404663,453.1906,0.40211904,0.178
1982-02-02,13.125,49.375,7.127444,-7.6842957,368.7217,0.39469102,0.186
1982-02-03,13.125,49.375,7.9588485,-12.799377,300.1997,0.38984457,0.194
1982-02-04,13.125,49.375,7.7640553,-15.900391,237.45041,0.38599607,0.20199999
1982-02-05,13.125,49.375,7.7599797,-12.690399,324.7096,0.38317057,0.21
1982-02-06,13.125,49.375,6.308491,-9.258942,370.194,0.3912235,0.218
1982-02-07,13.125,49.375,3.1236413,0.4892578,372.55923,0.41528988,0.226
1982-02-08,13.125,49.375,2.7160013,-0.40820312,375.78458,0.41642725,0.234
1982-02-09,13.125,49.375,4.841719,-0.43566895,531.3983,0.4072074,0.242
1982-02-10,13.125,49.375,8.748596,-2.7661133,595.51294,0.4043674,0.25
1982-02-11,13.125,49.375,7.7648206,-3.4396973,624.2659,0.40668625,0.258
1982-02-12,13.125,49.375,9.046607,-4.493103,445.52554,0.4069673,0.266
1982-02-13,13.125,49.375,8.859312,-4.4768677,336.46268,0.40664634,0.274
1982-02-14,13.125,49.375,8.021495,-4.19928,327.77496,0.40313375,0.282
1982-02-15,13.125,49.375,7.7172594,-2.8619385,384.86584,0.39713135,0.29
1982-02-16,13.125,49.375,8.402855,-2.5670776,295.59222,0.3940046,0.29230767
1982-02-17,13.125,49.375,5.771723,-2.1992798,329.3594,0.39261144,0.2946154
1982-02-18,13.125,49.375,3.9436817,-2.2705383,282.591,0.39014927,0.29692307
1982-02-19,13.125,49.375,8.225642,-6.013336,417.32397,0.3861531,0.29923075
1982-02-20,13.125,49.375,10.998715,-8.330902,486.32864,0.381606,0.30153847
1982-02-21,13.125,49.375,11.057552,-8.248535,501.3606,0.37788293,0.30384615
1982-02-22,13.125,49.375,10.413273,-7.1252136,501.05954,0.37487078,0.30615383
1982-02-23,13.125,49.375,11.692574,-5.700653,525.0337,0.37249863,0.30846152
1982-02-24,13.125,49.375,9.699494,-6.329651,492.61765,0.37047973,0.31076923
1982-02-25,13.125,49.375,4.491306,-5.6103516,339.29602,0.36759415,0.3130769
1982-02-26,13.125,49.375,4.625463,-4.173279,303.31815,0.36495554,0.3153846
1982-02-27,13.125,49.375,8.726982,-5.4529724,455.267,0.3644891,0.3176923
1982-02-28,13.125,49.375,9.692913,-4.8446045,631.9676,0.36910334,0.32
1982-03-01,13.125,49.375,3.174025,2.3267212,511.20087,0.3836014,0.31466666
1982-03-02,13.125,49.375,7.202554,1.4498596,507.1361,0.39941698,0.30933332
1982-03-03,13.125,49.375,5.9340653,1.3815308,737.8986,0.38732293,0.304
1982-03-04,13.125,49.375,8.682238,1.9714966,726.2683,0.3863329,0.29866666
1982-03-05,13.125,49.375,10.141778,-2.0812073,699.9083,0.37890527,0.29333332
1982-03-06,13.125,49.375,10.415388,-2.84375,538.25226,0.37165862,0.288
1982-03-07,13.125,49.375,13.257767,-3.553009,705.77875,0.36739033,0.28266665
1982-03-08,13.125,49.375,13.715969,-1.1391296,908.33246,0.3641095,0.27733332
1982-03-09,13.125,49.375,12.222429,-2.3868408,768.2809,0.36075258,0.27199998
1982-03-10,13.125,49.375,13.7107115,-1.4483337,842.68396,0.35712484,0.26666665
1982-03-11,13.125,49.375,10.156902,-0.4206543,492.7257,0.3901049,0.26133332
1982-03-12,13.125,49.375,9.830172,-0.39535522,657.8132,0.38185358,0.25599998
1982-03-13,13.125,49.375,12.399306,-0.3524475,604.2102,0.37854007,0.25066665
1982-03-14,13.125,49.375,12.759908,-0.6812439,618.24884,0.3749947,0.24533333
1982-03-15,13.125,49.375,15.580073,-1.2312622,860.2807,0.3715825,0.24
1982-03-16,13.125,49.375,14.408247,-1.2168274,1090.1938,0.37378737,0.24312499
1982-03-17,13.125,49.375,12.023026,1.3086853,991.3527,0.3923431,0.24624999
1982-03-18,13.125,49.375,8.740997,0.9369507,669.9156,0.39975074,0.249375
1982-03-19,13.125,49.375,4.4049625,0.7937927,329.2457,0.40334076,0.2525
1982-03-20,13.125,49.375,11.144943,-2.0890503,660.6433,0.39360937,0.25562498
1982-03-21,13.125,49.375,9.982126,1.2181702,682.00916,0.38388756,0.25875
1982-03-22,13.125,49.375,12.683754,-0.45578003,635.0025,0.386082,0.261875
1982-03-23,13.125,49.375,14.520781,0.27511597,753.8498,0.3827406,0.265
1982-03-24,13.125,49.375,17.759218,-1.9590149,854.20807,0.3730938,0.268125
1982-03-25,13.125,49.375,15.911583,-2.3011475,1009.3994,0.3659364,0.27124998
1982-03-26,13.125,49.375,17.568043,-1.1195068,1170.6294,0.3614154,0.274375
1982-03-27,13.125,49.375,18.429688,-1.3667908,1360.645,0.35769147,0.2775
1982-03-28,13.125,49.375,17.185003,1.2301025,1309.8574,0.35366595,0.280625
1982-03-29,13.125,49.375,13.461215,4.208191,860.8633,0.36279428,0.28375
1982-03-30,13.125,49.375,10.873073,2.6721802,747.571,0.36935008,0.28687498
1982-03-31,13.125,49.375,8.439185,2.0935364,682.4059,0.36035702,0.29
1982-04-01,13.125,49.375,19.012062,-0.13296509,1104.9095,0.35202754,0.29333332
1982-04-02,13.125,49.375,18.267065,1.6499023,1303.6587,0.34482315,0.29666665
1982-04-03,13.125,49.375,10.564128,3.7809448,860.4063,0.3443587,0.29999998
1982-04-04,13.125,49.375,16.727985,1.7071228,1101.2157,0.34131578,0.30333334
1982-04-05,13.125,49.375,20.517979,0.46566772,1410.5272,0.33477727,0.30666667
1982-04-06,13.125,49.375,18.181713,1.5647888,1653.8309,0.32585937,0.31
1982-04-07,13.125,49.375,9.113754,8.096893,672.82166,0.35262063,0.31333333
1982-04-08,13.125,49.375,6.7654376,0.040374756,887.777,0.38485247,0.31666666
1982-04-09,13.125,49.375,16.84995,-1.2230225,641.81464,0.38400346,0.32
1982-04-10,13.125,49.375,13.960404,0.5159607,638.82104,0.37372494,0.32333332
1982-04-11,13.125,49.375,16.702515,-0.21447754,613.98096,0.37707686,0.32666665
1982-04-12,13.125,49.375,17.679537,-1.6376648,607.8713,0.37259945,0.33
1982-04-13,13.125,49.375,18.694208,-2.7149963,637.8494,0.36575058,0.33333334
1982-04-14,13.125,49.375,16.587433,-3.0222168,703.03784,0.35994574,0.33666667
1982-04-15,13.125,49.375,21.431498,-1.8326416,922.62695,0.35084608,0.34
1982-04-16,13.125,49.375,22.924368,-0.1308899,1119.3909,0.3431452,0.34333333
1982-04-17,13.125,49.375,16.838371,1.211731,1052.2894,0.33980462,0.34666666
1982-04-18,13.125,49.375,18.187422,-0.6524048,853.45154,0.33778945,0.35
1982-04-19,13.125,49.375,17.981302,-0.6135254,862.86084,0.3340599,0.35333332
1982-04-20,13.125,49.375,19.13867,1.79422,941.9676,0.32753435,0.35666665
1982-04-21,13.125,49.375,17.83071,0.58551025,970.8765,0.3241909,0.35999998
1982-04-22,13.125,49.375,21.268122,0.9031677,973.8224,0.3215368,0.3633333
1982-04-23,13.125,49.375,18.330814,-1.2782593,942.6432,0.31362888,0.36666667
1982-04-24,13.125,49.375,18.612917,1.7277222,1050.6675,0.31262648,0.37
1982-04-25,13.125,49.375,17.566305,2.3842773,1083.0482,0.31144837,0.37333333
1982-04-26,13.125,49.375,10.137974,1.1375122,876.71747,0.32062265,0.37666667
1982-04-27,13.125,49.375,19.098963,0.4878235,938.3145,0.33666024,0.38
1982-04-28,13.125,49.375,14.29592,-0.7816162,867.4509,0.33024994,0.38333333
1982-04-29,13.125,49.375,11.512451,2.386444,684.6583,0.34485513,0.38666666
1982-04-30,13.125,49.375,20.425798,0.93969727,755.0417,0.36603233,0.39
1982-05-01,13.125,49.375,4.746242,1.3231201,325.3354,0.36106637,0.3893333
1982-05-02,13.125,49.375,17.344099,0.041870117,851.2578,0.368124,0.38866666
1982-05-03,13.125,49.375,19.731306,0.20025635,1345.6083,0.35100424,0.38799998
1982-05-04,13.125,49.375,22.367992,5.3221436,1691.7518,0.33603594,0.38733333
1982-05-05,13.125,49.375,22.685677,6.6228943,1490.4291,0.3341191,0.38666666
1982-05-06,13.125,49.375,6.3841066,5.9699097,831.82324,0.36398554,0.38599998
1982-05-07,13.125,49.375,20.177341,1.7903748,879.11884,0.373701,0.38533333
1982-05-08,13.125,49.375,20.574383,0.4933777,1216.0834,0.35131136,0.38466665
1982-05-09,13.125,49.375,7.6172185,4.5537415,836.8514,0.34354275,0.384
1982-05-10,13.125,49.375,15.635641,4.946472,1146.7893,0.34486136,0.38333333
1982-05-11,13.125,49.375,14.4713,3.6740417,940.80536,0.35344476,0.38266665
1982-05-12,13.125,49.375,17.618464,0.9506836,1151.2261,0.34369448,0.382
1982-05-13,13.125,49.375,24.35598,3.112152,1528.6051,0.32961628,0.38133332
1982-05-14,13.125,49.375,25.798002,4.9015503,1714.9412,0.31632614,0.38066667
1982-05-15,13.125,49.375,25.540716,6.4712524,1887.5586,0.3032598,0.38
1982-05-16,13.125,49.375,26.066038,8.345703,2176.101,0.29117,0.389375
1982-05-17,13.125,49.375,22.040901,10.16391,2152.6416,0.28089795,0.39875
1982-05-18,13.125,49.375,22.038366,11.672058,2073.874,0.2739025,0.40812498
1982-05-19,13.125,49.375,19.432974,11.864624,1773.1451,0.27335647,0.4175
1982-05-20,13.125,49.375,19.24575,9.789215,1739.4131,0.27882397,0.426875
1982-05-21,13.125,49.375,18.021938,11.3203125,1388.0212,0.31377333,0.43624997
1982-05-22,13.125,49.375,15.162953,10.477661,1510.6833,0.32241872,0.44562498
1982-05-23,13.125,49.375,19.26691,11.422424,1533.7458,0.32236385,0.45499998
1982-05-24,13.125,49.375,13.031033,8.365936,1069.2855,0.33182964,0.464375
1982-05-25,13.125,49.375,16.718746,7.2946167,1585.1752,0.31578732,0.47375
1982-05-26,13.125,49.375,27.041409,6.63501,2066.0764,0.2962052,0.48312497
1982-05-27,13.125,49.375,25.930613,9.198578,2412.119,0.27616793,0.49249998
1982-05-28,13.125,49.375,20.323698,11.374878,1680.5251,0.28895703,0.501875
1982-05-29,13.125,49.375,15.019823,9.443573,1531.9907,0.30798334,0.51124996
1982-05-30,13.125,49.375,26.064045,8.045959,1791.5718,0.28638488,0.520625
1982-05-31,13.125,49.375,27.12084,10.622528,2515.4585,0.26291585,0.53
1982-06-01,13.125,49.375,27.409763,10.538696,2728.1282,0.24274923,0.5313333
1982-06-02,13.125,49.375,27.371744,11.844971,2968.9587,0.22634926,0.5326666
1982-06-03,13.125,49.375,26.644306,12.633057,3100.096,0.20809646,0.534
1982-06-04,13.125,49.375,27.26655,13.683502,3209.1226,0.19082934,0.53533334
1982-06-05,13.125,49.375,25.98593,13.696228,3287.11,0.1765859,0.53666663
1982-06-06,13.125,49.375,22.576292,15.125336,2722.2231,0.1779792,0.538
1982-06-07,13.125,49.375,17.351118,14.468323,1858.0197,0.21425146,0.53933334
1982-06-08,13.125,49.375,19.733654,12.084137,2190.5908,0.22000204,0.54066664
1982-06-09,13.125,49.375,18.55959,13.45285,2071.7068,0.2534171,0.542
1982-06-10,13.125,49.375,22.303818,10.9653015,2081.2068,0.27188623,0.54333335
1982-06-11,13.125,49.375,19.30776,11.381531,1870.1158,0.26744777,0.54466665
1982-06-12,13.125,49.375,7.975722,10.382996,921.5124,0.34853485,0.546
1982-06-13,13.125,49.375,20.486212,8.92923,1186.2947,0.34182894,0.54733336
1982-06-14,13.125,49.375,20.475302,8.327972,1116.862,0.32479587,0.54866666
1982-06-15,13.125,49.375,16.344757,6.7671204,1305.6985,0.30422625,0.55
1982-06-16,13.125,49.375,11.942301,5.9358215,940.81476,0.3218495,0.536
