,longitude,latitude,ssrd,t2mmin,vpd,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR
1982-01-01,11.625,50.875,2.5115602,2.8692627,428.6873,,,,,,0.3552242687002395
1982-01-02,11.625,50.875,1.9510634,3.6350403,525.90393,,,,,,0.2973579389384175
1982-01-03,11.625,50.875,1.6287715,4.3960266,607.35,,,,,,0.26603259553744874
1982-01-04,11.625,50.875,2.144193,6.525482,818.6773,,,,,,0.3755608085106755
1982-01-05,11.625,50.875,2.2515414,6.5424194,751.3167,,,,,,0.4117176854318122
1982-01-06,11.625,50.875,2.3779864,-8.650635,410.59512,,,,,,0.0
1982-01-07,11.625,50.875,2.9511244,-10.600739,244.7188,,,,,,0.0
1982-01-08,11.625,50.875,4.1350727,-12.411957,218.73097,,,,,,0.0
1982-01-09,11.625,50.875,1.3392949,-14.636841,212.68324,,,,,,0.0
1982-01-10,11.625,50.875,4.335678,-17.787674,167.27309,,,,,,0.0
1982-01-11,11.625,50.875,1.2880218,-13.653107,253.38774,,,,,,0.0
1982-01-12,11.625,50.875,2.8271391,-11.44928,280.11935,,,,,,0.0
1982-01-13,11.625,50.875,4.057628,-13.509277,164.87088,,,,,,0.0
1982-01-14,11.625,50.875,5.0107765,-15.1753235,213.598,,,,,,0.0
1982-01-15,11.625,50.875,4.730988,-11.207062,367.01416,0.17999999,0.0,0.4027537170527923,0.0,0.0,0.0
1982-01-16,11.625,50.875,4.6777177,-7.5698547,361.99496,0.17999999,0.0,0.39821876339543416,0.0,0.0,0.0
1982-01-17,11.625,50.875,4.862544,-8.214752,331.22617,0.17999999,0.0,0.41395321026659815,0.0,0.0,0.0
1982-01-18,11.625,50.875,3.8932242,-6.8507385,272.10287,0.17999999,0.002982906458614765,0.3314340509571962,0.011492684361517501,0.002982906458614765,0.008285851734255001
1982-01-19,11.625,50.875,4.660599,-5.5293274,251.45564,0.17999999,0.03535144354011871,0.39676143142669706,0.11377757517902326,0.03535144354011871,0.0981984597335775
1982-01-20,11.625,50.875,4.582168,-4.7635803,255.98544,0.17999999,0.05285645277661425,0.39008452233663654,0.17302874788729128,0.05285645277661425,0.14682348809190005
1982-01-21,11.625,50.875,5.3319125,-5.700531,272.9812,0.17999999,0.03576818820423332,0.45391101782021986,0.100624836409731,0.03576818820423332,0.09935608386487499
1982-01-22,11.625,50.875,2.1843405,-2.6000366,152.93266,0.17999999,0.049594220042602256,0.1859550807746616,0.34056654657963525,0.049594220042602256,0.13776172999399125
1982-01-23,11.625,50.875,3.4431674,-2.7010498,268.36053,0.17999999,0.07635782972150681,0.2931202676449398,0.3326493640194788,0.07635782972150681,0.21210509434335753
1982-01-24,11.625,50.875,2.4890866,-1.8500671,202.15408,0.17999999,0.06613349674856629,0.2118984195724649,0.3985407543588458,0.06613349674856629,0.1837041678406935
1982-01-25,11.625,50.875,4.6322165,-1.5388184,373.0406,0.17999999,0.13052826151558605,0.3943452009534322,0.4226753915180325,0.13052826151558605,0.3625785243532126
1982-01-26,11.625,50.875,1.4553032,-0.9593506,490.4708,0.17999999,0.04535664514108535,0.12389140983634352,0.46749686052795075,0.04535664514108535,0.125990687946942
1982-01-27,11.625,50.875,2.819056,0.41244507,404.64105,0.17999999,0.10780307811707097,0.23998904300327464,0.5736126461326291,0.10780307811707097,0.29945301140591996
1982-01-28,11.625,50.875,4.335542,-2.0777893,433.46454,0.17999999,0.11009925033977126,0.36908900549705415,0.3809186383378523,0.11009925033977126,0.305831267934435
1982-01-29,11.625,50.875,5.3538184,1.0633545,421.33466,0.17999999,0.22273767690030646,0.4557758888895159,0.6240527608304004,0.22273767690030646,0.6187158035406181
