,longitude,latitude,ssrd,t2mmin,vpd,FPAR
1982-01-01,11.625,50.875,2.5115602,2.8692627,428.6873,
1982-01-02,11.625,50.875,1.9510634,3.6350403,525.90393,
1982-01-03,11.625,50.875,1.6287715,4.3960266,607.35,
1982-01-04,11.625,50.875,2.144193,6.525482,818.6773,
1982-01-05,11.625,50.875,2.2515414,6.5424194,751.3167,
1982-01-06,11.625,50.875,2.3779864,-8.650635,410.59512,
1982-01-07,11.625,50.875,2.9511244,-10.600739,244.7188,
1982-01-08,11.625,50.875,4.1350727,-12.411957,218.73097,
1982-01-09,11.625,50.875,1.3392949,-14.636841,212.68324,
1982-01-10,11.625,50.875,4.335678,-17.787674,167.27309,
1982-01-11,11.625,50.875,1.2880218,-13.653107,253.38774,
1982-01-12,11.625,50.875,2.8271391,-11.44928,280.11935,
1982-01-13,11.625,50.875,4.057628,-13.509277,164.87088,
1982-01-14,11.625,50.875,5.0107765,-15.1753235,213.598,
1982-01-15,11.625,50.875,4.730988,-11.207062,367.01416,0.17999999
1982-01-16,11.625,50.875,4.6777177,-7.5698547,361.99496,0.17999999
1982-01-17,11.625,50.875,4.862544,-8.214752,331.22617,0.17999999
1982-01-18,11.625,50.875,3.8932242,-6.8507385,272.10287,0.17999999
1982-01-19,11.625,50.875,4.660599,-5.5293274,251.45564,0.17999999
1982-01-20,11.625,50.875,4.582168,-4.7635803,255.98544,0.17999999
1982-01-21,11.625,50.875,5.3319125,-5.700531,272.9812,0.17999999
1982-01-22,11.625,50.875,2.1843405,-2.6000366,152.93266,0.17999999
1982-01-23,11.625,50.875,3.4431674,-2.7010498,268.36053,0.17999999
1982-01-24,11.625,50.875,2.4890866,-1.8500671,202.15408,0.17999999
1982-01-25,11.625,50.875,4.6322165,-1.5388184,373.0406,0.17999999
1982-01-26,11.625,50.875,1.4553032,-0.9593506,490.4708,0.17999999
1982-01-27,11.625,50.875,2.819056,0.41244507,404.64105,0.17999999
1982-01-28,11.625,50.875,4.335542,-2.0777893,433.46454,0.17999999
1982-01-29,11.625,50.875,5.3538184,1.0633545,421.33466,0.17999999
1982-01-30,11.625,50.875,0.57922673,2.370819,460.83112,0.17999999
1982-01-31,11.625,50.875,4.674371,-1.619812,529.0088,0.17999999
1982-02-01,11.625,50.875,5.279263,-4.398041,307.30762,0.18933332
1982-02-02,11.625,50.875,6.9160986,-4.8247375,373.34384,0.19866666
1982-02-03,11.625,50.875,7.1341763,-6.2418213,357.5456,0.20799999
1982-02-04,11.625,50.875,7.151034,-6.1535645,374.5606,0.21733333
1982-02-05,11.625,50.875,7.4240923,-4.978485,432.6405,0.22666666
1982-02-06,11.625,50.875,2.443943,-1.7087097,349.99817,0.23599999
1982-02-07,11.625,50.875,3.9871242,2.1509094,442.5537,0.24533333
1982-02-08,11.625,50.875,1.7538749,1.7071838,413.5305,0.25466666
1982-02-09,11.625,50.875,3.0673327,0.52389526,486.39706,0.264
1982-02-10,11.625,50.875,7.987485,0.60614014,672.08057,0.2733333
1982-02-11,11.625,50.875,8.190621,2.7034302,768.92444,0.28266665
1982-02-12,11.625,50.875,5.373929,0.38980103,608.90186,0.292
1982-02-13,11.625,50.875,8.485779,-0.11886597,544.9229,0.30133334
1982-02-14,11.625,50.875,7.8276258,0.18927002,427.96732,0.31066665
1982-02-15,11.625,50.875,1.3739145,-0.8069153,123.76175,0.32
1982-02-16,11.625,50.875,5.094964,-1.8180847,310.12524,0.32
1982-02-17,11.625,50.875,6.4137135,-2.517456,331.97815,0.32
1982-02-18,11.625,50.875,3.5361278,-3.8251648,314.8167,0.32
1982-02-19,11.625,50.875,6.6471705,-5.217407,392.53644,0.32
1982-02-20,11.625,50.875,10.197303,-6.0175476,433.87003,0.32
1982-02-21,11.625,50.875,10.348685,-6.1299133,443.3849,0.32
1982-02-22,11.625,50.875,10.274214,-6.5075684,454.8455,0.32
1982-02-23,11.625,50.875,9.642947,-5.2953186,436.87988,0.32
1982-02-24,11.625,50.875,6.7683773,-7.065094,277.0257,0.32
1982-02-25,11.625,50.875,7.667059,-6.74234,318.8127,0.32
1982-02-26,11.625,50.875,4.6693764,-5.5720825,287.51242,0.32
1982-02-27,11.625,50.875,10.397792,-6.4478455,411.7701,0.32
1982-02-28,11.625,50.875,4.3988905,-0.41653442,537.84247,0.32
1982-03-01,11.625,50.875,2.1090214,4.357971,654.8938,0.32133332
1982-03-02,11.625,50.875,7.9494987,2.7037964,653.46027,0.32266667
1982-03-03,11.625,50.875,4.090347,2.7638245,682.2327,0.324
1982-03-04,11.625,50.875,9.739662,2.5963745,800.86115,0.32533333
1982-03-05,11.625,50.875,8.799041,-0.37026978,518.76904,0.32666665
1982-03-06,11.625,50.875,10.082804,-2.0089722,511.4369,0.328
1982-03-07,11.625,50.875,12.33481,-3.09552,550.9728,0.32933334
1982-03-08,11.625,50.875,12.829272,-1.4072266,655.165,0.33066666
1982-03-09,11.625,50.875,11.16499,-1.4274292,609.93506,0.332
1982-03-10,11.625,50.875,9.992588,0.7333374,732.6964,0.33333334
1982-03-11,11.625,50.875,10.08736,0.10507202,497.72977,0.33466667
1982-03-12,11.625,50.875,8.8073635,0.010681152,562.5425,0.336
1982-03-13,11.625,50.875,12.4387045,0.2843933,516.4214,0.33733332
1982-03-14,11.625,50.875,12.761838,0.33163452,641.1317,0.33866668
1982-03-15,11.625,50.875,14.668725,3.2826538,938.3879,0.34
1982-03-16,11.625,50.875,9.3857565,3.3946838,889.3507,0.336875
1982-03-17,11.625,50.875,4.779953,2.0483093,557.44196,0.33375
1982-03-18,11.625,50.875,13.071066,0.052124023,550.8136,0.330625
1982-03-19,11.625,50.875,10.767812,-0.1605835,477.81787,0.3275
1982-03-20,11.625,50.875,10.488879,-1.6385193,551.20056,0.324375
1982-03-21,11.625,50.875,8.199273,-0.113983154,388.71396,0.32125
1982-03-22,11.625,50.875,7.2964697,-0.16537476,433.10834,0.318125
1982-03-23,11.625,50.875,9.971464,0.12246704,601.07935,0.315
1982-03-24,11.625,50.875,17.107502,-1.2628174,776.085,0.311875
1982-03-25,11.625,50.875,15.119644,-0.8768921,826.0396,0.30875
1982-03-26,11.625,50.875,17.230732,-1.2683105,1004.93726,0.305625
1982-03-27,11.625,50.875,17.654133,1.0898743,1175.4558,0.3025
1982-03-28,11.625,50.875,14.608657,2.7104492,1097.8074,0.299375
1982-03-29,11.625,50.875,14.767972,4.9226685,987.92084,0.29625
1982-03-30,11.625,50.875,6.343185,2.3427734,589.66113,0.293125
1982-03-31,11.625,50.875,6.1715536,0.9526367,512.8648,0.29
1982-04-01,11.625,50.875,18.574076,-1.5602722,874.7884,0.292
1982-04-02,11.625,50.875,17.071423,1.8494568,1126.426,0.294
1982-04-03,11.625,50.875,10.4970875,3.1381836,897.979,0.296
1982-04-04,11.625,50.875,18.091734,0.014404297,896.1318,0.29799998
1982-04-05,11.625,50.875,19.891743,1.2167053,1282.9662,0.29999998
1982-04-06,11.625,50.875,18.061302,6.488434,1641.1619,0.302
1982-04-07,11.625,50.875,8.28313,8.73642,893.88837,0.304
1982-04-08,11.625,50.875,8.04467,0.13006592,690.7979,0.306
1982-04-09,11.625,50.875,16.74934,-0.124572754,589.2219,0.308
1982-04-10,11.625,50.875,11.953101,0.75198364,522.8701,0.31
1982-04-11,11.625,50.875,17.851688,-0.63116455,525.0963,0.312
1982-04-12,11.625,50.875,17.870197,-0.8227234,495.66373,0.31399998
1982-04-13,11.625,50.875,17.993467,-0.06237793,546.51013,0.31599998
1982-04-14,11.625,50.875,17.746515,-1.0008545,618.64154,0.318
1982-04-15,11.625,50.875,20.379333,0.43084717,914.8292,0.32
1982-04-16,11.625,50.875,21.26484,1.0310364,1036.0171,0.32333332
1982-04-17,11.625,50.875,19.239628,3.9362488,919.7716,0.32666665
1982-04-18,11.625,50.875,18.535011,1.5552368,888.6595,0.32999998
1982-04-19,11.625,50.875,14.617337,0.48742676,932.68146,0.33333334
1982-04-20,11.625,50.875,19.368814,3.1533203,966.65393,0.33666667
1982-04-21,11.625,50.875,14.904447,2.9022217,955.2528,0.34
1982-04-22,11.625,50.875,23.368307,2.6411438,890.3437,0.34333333
1982-04-23,11.625,50.875,20.84983,0.15142822,1034.1265,0.34666666
1982-04-24,11.625,50.875,15.844434,4.5285645,888.3192,0.35
1982-04-25,11.625,50.875,20.046417,3.0532227,1029.8391,0.35333332
1982-04-26,11.625,50.875,5.7504106,4.320038,801.22986,0.35666665
1982-04-27,11.625,50.875,18.361181,2.705536,944.6218,0.36
1982-04-28,11.625,50.875,7.236337,2.7370605,730.3509,0.36333334
1982-04-29,11.625,50.875,9.136753,1.1096497,599.51984,0.36666667
1982-04-30,11.625,50.875,19.066364,0.59262085,710.76294,0.37
1982-05-01,11.625,50.875,9.997364,2.3073425,719.70026,0.37933335
1982-05-02,11.625,50.875,19.307247,1.281311,757.2314,0.38866666
1982-05-03,11.625,50.875,19.124392,1.9546204,1177.13,0.398
